salary,companySize,district,work_year,company_name,position_name,positionAdvantage
25k-40k,50-150人,朝阳区,3-5年,北京中科政汇科技有限公司,中高级python后端,风口赛道
15k-30k,500-2000人,朝阳区,3-5年,上海卓赞教育科技有限公司,数据平台开发工程师（Python方向）,公司发展迅速，有补充商业保险
30k-60k,2000人以上,海淀区,3-5年,人人贷商务顾问（北京）有限公司,Python开发高级工程师,"五险一金,节假日礼金,竞争力薪酬"
35k-50k,15-50人,朝阳区,5-10年,北京智能优学科技有限公司,python架构师,五险一金，高速成长，靠谱项目，绩效奖金
20k-40k,500-2000人,海淀区,3-5年,北京达佳互联信息技术有限公司,Python开发工程师,空间大、氛围好、大牛多、福利优
30k-45k,500-2000人,海淀区,5-10年,北京智者天下科技有限公司,资深Python开发,"三餐,健身房,mac"
20k-35k,150-500人,朝阳区,3-5年,北京向上一心科技有限公司,python开发工程师,面议
15k-30k,150-500人,海淀区,1-3年,北京汉迪移动互联网科技股份有限公司,python开发,"硅谷式办公,弹性工作,时令水果"
14k-25k,150-500人,朝阳区,3-5年,北京车势科技有限公司,python,五险一金 带薪年假 领导nice
25k-40k,150-500人,海淀区,3-5年,北京智融时代信息技术有限公司,高级Python开发工程师,"优秀团队,工场项目,六险一金,金融科技"
25k-40k,150-500人,朝阳区,1-3年,北京粉笔蓝天科技有限公司,Python开发工程师,"技术大牛多,福利待遇好"
10k-20k,150-500人,朝阳区,1-3年,北京雷石世纪科技有限公司,Python工程师,"补充医疗险,弹性工作制"
20k-30k,50-150人,朝阳区,3-5年,永杨安风（北京）科技有限公司,Python研发工程师,"海外APP,社/公全额,海外团建,工作居住证"
15k-25k,50-150人,海淀区,3-5年,北京棕榈创想科技有限公司,Python开发工程师,"14薪,技术新,大牛多,年度体检"
20k-30k,15-50人,海淀区,3-5年,北京蹭蹭蹭信息技术有限公司,python开发工程师,完善的管理制度，nice的福利待遇。
15k-25k,50-150人,朝阳区,3-5年,智线云科技（北京）有限公司,Python中级工程师,"六险一金,晋升空间大,超长年假,团队氛围好"
30k-45k,2000人以上,海淀区,3-5年,北京字节跳动科技有限公司,服务器端开发工程师（Python/Go）,六险一金，弹性工作，免费三餐，租房补贴
20k-40k,150-500人,朝阳区,5-10年,北京果壳互动科技传媒有限公司,后端技术经理（Python web）,"三餐,七险一金,海外游,核心团队"
18k-36k,50-150人,海淀区,3-5年,北京宏链科技有限公司,Python高级开发工程师,"团队技术强,发展空间大,人工智能"
17k-34k,150-500人,朝阳区,3-5年,北京币世界网络科技有限公司,python工程师,"地铁周边,零食水果,福利优厚,五险一金"
15k-30k,500-2000人,海淀区,3-5年,北京智者天下科技有限公司,Python开发工程师,薪资优厚、氛围宽松、每日三餐、六险一金
30k-40k,150-500人,海淀区,3-5年,北京微光果壳科技有限公司,【Python资深研发工程师】,Geek、六险一金、16薪、弹性工作
15k-25k,150-500人,朝阳区,3-5年,视觉（中国）文化发展股份有限公司北京分公司,python开发工程师,"上市公司,六险一金,带薪年假,绩效奖金"
15k-30k,150-500人,海淀区,3-5年,北京格灵深瞳信息技术有限公司,Python高级开发工程师&nbsp;,"扁平化管理,不定期团建"
